trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,blueOpacity,orangeOpacity,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,instr_text_2.started,instr_text_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,instr_text.started,instr_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,Instructions.started,Instructions.stopped,fix_ini.started,fix_ini.stopped,fix_trial.started,fix_trial.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,Instructions_2.started,Instructions_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
30,same,4,0.14,0.41,black,1,0.41,-0.27,yellow,1,-0.14,-0.27,green,1,-0.41,0.14,orange,1,0.41,0.27,blue,0,0.14,-0.41,magenta,0,-0.27,-0.27,white,0,-0.41,0.41,red,0,0.05,0.05,0.15,0.14,0.41,black,k,,,,,,,0,44,44,29,,,,,,,,,,,,,,,,,,,,k,1,1.0338560000018333,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
85,same,8,0.14,0.41,green,1,0.14,-0.41,magenta,1,-0.41,-0.14,black,1,-0.14,0.27,blue,1,0.27,0.27,orange,1,0.41,-0.41,red,1,-0.27,-0.14,white,1,-0.41,0.27,yellow,1,0.05,0.05,0.15,0.27,0.27,orange,k,,,,,,,0,45,45,84,,,,,,,,,,,,,,,,,,,,l,0,1.1345101749975584,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
62,same,8,0.41,0.14,red,1,0.14,-0.27,white,1,-0.41,-0.27,orange,1,-0.27,0.27,magenta,1,0.14,0.27,green,1,0.14,-0.14,blue,1,-0.27,-0.41,black,1,-0.41,0.14,yellow,1,0.05,0.05,0.15,-0.27,0.27,magenta,k,,,,,,,0,46,46,61,,,,,,,,,,,,,,,,,,,,l,0,1.101460865997069,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
52,different,4,0.27,0.41,white,1,0.14,-0.14,orange,1,-0.41,-0.14,black,1,-0.27,0.41,blue,1,0.14,0.27,magenta,0,0.27,-0.14,green,0,-0.27,-0.14,red,0,-0.14,0.41,yellow,0,0.05,0.05,0.15,0.14,-0.14,green,l,,,,,,,0,47,47,51,,,,,,,,,,,,,,,,,,,,l,1,0.7677546929990058,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
83,same,8,0.14,0.27,yellow,1,0.27,-0.41,orange,1,-0.27,-0.41,green,1,-0.41,0.14,white,1,0.41,0.27,blue,1,0.14,-0.14,magenta,1,-0.14,-0.14,red,1,-0.41,0.41,black,1,0.05,0.05,0.15,-0.41,0.41,black,k,,,,,,,0,48,48,82,,,,,,,,,,,,,,,,,,,,l,0,1.0335741470044013,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
73,same,8,0.14,0.14,blue,1,0.14,-0.41,yellow,1,-0.41,-0.41,red,1,-0.41,0.27,orange,1,0.27,0.41,magenta,1,0.14,-0.27,green,1,-0.41,-0.27,black,1,-0.27,0.27,white,1,0.05,0.05,0.15,0.27,0.41,magenta,k,,,,,,,0,49,49,72,,,,,,,,,,,,,,,,,,,,l,0,1.2847789400038891,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
29,same,4,0.14,0.27,black,1,0.41,-0.14,blue,1,-0.41,-0.14,magenta,1,-0.27,0.27,green,1,0.27,0.27,yellow,0,0.41,-0.41,orange,0,-0.41,-0.27,white,0,-0.14,0.14,red,0,0.05,0.05,0.15,0.41,-0.14,blue,k,,,,,,,0,50,50,28,,,,,,,,,,,,,,,,,,,,l,0,1.0003985060029663,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
59,different,4,0.27,0.41,black,1,0.41,-0.14,blue,1,-0.27,-0.27,white,1,-0.14,0.41,green,1,0.14,0.27,red,0,0.41,-0.41,magenta,0,-0.14,-0.27,orange,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,0.27,0.41,yellow,l,,,,,,,0,51,51,58,,,,,,,,,,,,,,,,,,,,l,1,0.8670117709989427,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
87,same,8,0.27,0.14,red,1,0.14,-0.14,yellow,1,-0.27,-0.14,orange,1,-0.27,0.27,magenta,1,0.41,0.27,blue,1,0.41,-0.41,green,1,-0.27,-0.27,black,1,-0.14,0.27,white,1,0.05,0.05,0.15,0.41,-0.41,green,k,,,,,,,0,52,52,86,,,,,,,,,,,,,,,,,,,,l,0,0.8837663540034555,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
116,different,8,0.27,0.14,green,1,0.41,-0.14,black,1,-0.27,-0.41,magenta,1,-0.41,0.14,white,1,0.41,0.41,blue,1,0.41,-0.27,yellow,1,-0.41,-0.27,red,1,-0.27,0.14,orange,1,0.05,0.05,0.15,0.41,-0.27,magenta,l,,,,,,,0,53,53,115,,,,,,,,,,,,,,,,,,,,l,1,0.9851828110040515,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
16,same,4,0.27,0.27,magenta,1,0.14,-0.14,orange,1,-0.14,-0.41,blue,1,-0.27,0.14,red,1,0.14,0.14,black,0,0.14,-0.27,green,0,-0.27,-0.27,yellow,0,-0.27,0.27,white,0,0.05,0.05,0.15,-0.27,0.14,red,k,,,,,,,0,54,54,15,,,,,,,,,,,,,,,,,,,,l,0,0.8165273670019815,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
31,different,4,0.27,0.41,orange,1,0.14,-0.14,black,1,-0.41,-0.41,yellow,1,-0.41,0.27,white,1,0.27,0.14,green,0,0.41,-0.27,blue,0,-0.14,-0.41,red,0,-0.41,0.14,magenta,0,0.05,0.05,0.15,-0.41,0.27,yellow,l,,,,,,,0,55,55,30,,,,,,,,,,,,,,,,,,,,l,1,0.8348248340043938,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
49,different,4,0.27,0.14,green,1,0.41,-0.14,yellow,1,-0.27,-0.41,red,1,-0.14,0.14,white,1,0.14,0.14,blue,0,0.27,-0.27,black,0,-0.14,-0.41,orange,0,-0.41,0.14,magenta,0,0.05,0.05,0.15,0.27,0.14,yellow,l,,,,,,,0,56,56,48,,,,,,,,,,,,,,,,,,,,l,1,0.7667458830037504,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
40,different,4,0.41,0.41,magenta,1,0.41,-0.27,white,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.27,0.27,blue,0,0.41,-0.41,green,0,-0.14,-0.27,red,0,-0.27,0.27,orange,0,0.05,0.05,0.15,-0.27,-0.41,orange,l,,,,,,,0,57,57,39,,,,,,,,,,,,,,,,,,,,l,1,1.4344077019995893,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
65,same,8,0.41,0.41,blue,1,0.27,-0.41,yellow,1,-0.27,-0.41,red,1,-0.41,0.27,white,1,0.14,0.27,black,1,0.27,-0.27,orange,1,-0.41,-0.41,magenta,1,-0.41,0.41,green,1,0.05,0.05,0.15,0.27,-0.27,orange,k,,,,,,,0,58,58,64,,,,,,,,,,,,,,,,,,,,l,0,1.0511632010020548,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
4,same,4,0.41,0.27,magenta,1,0.27,-0.41,orange,1,-0.41,-0.41,red,1,-0.14,0.41,green,1,0.27,0.41,blue,0,0.14,-0.41,black,0,-0.27,-0.14,white,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,0.27,-0.41,orange,k,,,,,,,0,59,59,3,,,,,,,,,,,,,,,,,,,,k,1,1.1333044720013277,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
33,different,4,0.27,0.41,magenta,1,0.41,-0.41,red,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.14,0.41,blue,0,0.14,-0.41,orange,0,-0.41,-0.14,white,0,-0.41,0.27,green,0,0.05,0.05,0.15,0.27,0.41,black,l,,,,,,,0,60,60,32,,,,,,,,,,,,,,,,,,,,l,1,1.1340290430016466,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
45,different,4,0.14,0.14,red,1,0.27,-0.27,black,1,-0.41,-0.27,white,1,-0.41,0.27,blue,1,0.27,0.27,magenta,0,0.14,-0.41,orange,0,-0.14,-0.14,green,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.14,0.14,blue,l,,,,,,,0,61,61,44,,,,,,,,,,,,,,,,,,,,l,1,0.8011272680014372,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
23,same,4,0.41,0.14,white,1,0.14,-0.27,magenta,1,-0.14,-0.27,red,1,-0.14,0.27,green,1,0.41,0.27,blue,0,0.14,-0.41,yellow,0,-0.41,-0.27,orange,0,-0.27,0.41,black,0,0.05,0.05,0.15,-0.14,0.27,green,k,,,,,,,0,62,62,22,,,,,,,,,,,,,,,,,,,,k,1,1.1501098899971112,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
25,same,4,0.41,0.27,white,1,0.27,-0.27,yellow,1,-0.41,-0.14,black,1,-0.14,0.27,blue,1,0.41,0.14,green,0,0.14,-0.41,magenta,0,-0.41,-0.41,orange,0,-0.27,0.41,red,0,0.05,0.05,0.15,0.27,-0.27,yellow,k,,,,,,,0,63,63,24,,,,,,,,,,,,,,,,,,,,k,1,1.200670074998925,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
97,different,8,0.27,0.27,blue,1,0.14,-0.27,orange,1,-0.14,-0.14,black,1,-0.27,0.14,white,1,0.14,0.14,magenta,1,0.27,-0.41,yellow,1,-0.27,-0.41,green,1,-0.41,0.14,red,1,0.05,0.05,0.15,-0.27,0.14,black,l,,,,,,,0,64,64,96,,,,,,,,,,,,,,,,,,,,l,1,0.9503198770034942,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
24,same,4,0.41,0.27,green,1,0.14,-0.27,black,1,-0.27,-0.27,yellow,1,-0.14,0.14,orange,1,0.41,0.14,blue,0,0.14,-0.14,white,0,-0.41,-0.14,red,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,-0.14,0.14,orange,k,,,,,,,0,65,65,23,,,,,,,,,,,,,,,,,,,,k,1,0.9168807050009491,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
101,different,8,0.14,0.27,magenta,1,0.14,-0.27,white,1,-0.41,-0.14,yellow,1,-0.41,0.14,black,1,0.14,0.41,red,1,0.41,-0.41,blue,1,-0.14,-0.41,green,1,-0.27,0.27,orange,1,0.05,0.05,0.15,-0.41,0.14,magenta,l,,,,,,,0,66,66,100,,,,,,,,,,,,,,,,,,,,l,1,1.0183859230019152,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
5,same,4,0.27,0.27,blue,1,0.14,-0.14,orange,1,-0.27,-0.27,black,1,-0.27,0.41,magenta,1,0.27,0.41,green,0,0.14,-0.41,white,0,-0.27,-0.41,yellow,0,-0.27,0.14,red,0,0.05,0.05,0.15,0.14,-0.14,orange,k,,,,,,,0,67,67,4,,,,,,,,,,,,,,,,,,,,l,0,1.3162522270067711,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
103,different,8,0.14,0.14,black,1,0.14,-0.27,white,1,-0.41,-0.41,green,1,-0.41,0.27,red,1,0.27,0.41,orange,1,0.27,-0.27,blue,1,-0.41,-0.14,magenta,1,-0.41,0.41,yellow,1,0.05,0.05,0.15,0.27,-0.27,magenta,l,,,,,,,0,68,68,102,,,,,,,,,,,,,,,,,,,,l,1,1.2157140080016688,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
51,different,4,0.41,0.41,yellow,1,0.14,-0.27,red,1,-0.14,-0.27,white,1,-0.41,0.14,orange,1,0.14,0.41,green,0,0.27,-0.41,black,0,-0.27,-0.14,blue,0,-0.41,0.27,magenta,0,0.05,0.05,0.15,0.41,0.41,red,l,,,,,,,0,69,69,50,,,,,,,,,,,,,,,,,,,,l,1,0.8843272049998632,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
115,different,8,0.14,0.27,green,1,0.27,-0.41,orange,1,-0.14,-0.14,yellow,1,-0.27,0.41,magenta,1,0.27,0.14,blue,1,0.14,-0.27,red,1,-0.41,-0.14,white,1,-0.41,0.14,black,1,0.05,0.05,0.15,0.14,-0.27,white,l,,,,,,,0,70,70,114,,,,,,,,,,,,,,,,,,,,l,1,0.8173699249964557,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
36,different,4,0.41,0.27,magenta,1,0.27,-0.14,orange,1,-0.41,-0.41,yellow,1,-0.14,0.14,blue,1,0.14,0.41,green,0,0.27,-0.27,black,0,-0.41,-0.27,white,0,-0.41,0.41,red,0,0.05,0.05,0.15,0.27,-0.14,black,l,,,,,,,0,71,71,35,,,,,,,,,,,,,,,,,,,,l,1,1.0337614079980995,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
114,different,8,0.41,0.41,yellow,1,0.14,-0.41,red,1,-0.41,-0.41,blue,1,-0.27,0.14,white,1,0.41,0.27,black,1,0.27,-0.41,green,1,-0.14,-0.41,orange,1,-0.14,0.41,magenta,1,0.05,0.05,0.15,-0.14,0.41,orange,l,,,,,,,0,72,72,113,,,,,,,,,,,,,,,,,,,,l,1,1.0674858840066008,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
111,different,8,0.27,0.14,red,1,0.41,-0.27,green,1,-0.27,-0.14,yellow,1,-0.14,0.14,orange,1,0.41,0.41,black,1,0.27,-0.27,white,1,-0.27,-0.41,blue,1,-0.27,0.14,magenta,1,0.05,0.05,0.15,-0.27,-0.41,red,l,,,,,,,0,73,73,110,,,,,,,,,,,,,,,,,,,,l,1,0.8990923520032084,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
21,same,4,0.41,0.27,magenta,1,0.27,-0.41,black,1,-0.27,-0.14,orange,1,-0.41,0.41,green,1,0.27,0.14,yellow,0,0.27,-0.14,white,0,-0.27,-0.27,red,0,-0.41,0.27,blue,0,0.05,0.05,0.15,0.27,-0.41,black,k,,,,,,,0,74,74,20,,,,,,,,,,,,,,,,,,,,k,1,1.200762914995721,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
67,same,8,0.14,0.27,yellow,1,0.27,-0.14,magenta,1,-0.27,-0.27,black,1,-0.41,0.41,blue,1,0.41,0.14,white,1,0.14,-0.14,red,1,-0.41,-0.14,orange,1,-0.41,0.27,green,1,0.05,0.05,0.15,-0.27,-0.27,black,k,,,,,,,0,75,75,66,,,,,,,,,,,,,,,,,,,,k,1,1.1671302730028401,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
70,same,8,0.41,0.41,black,1,0.14,-0.27,red,1,-0.41,-0.41,magenta,1,-0.27,0.41,green,1,0.27,0.14,yellow,1,0.41,-0.41,orange,1,-0.27,-0.14,blue,1,-0.27,0.27,white,1,0.05,0.05,0.15,0.14,-0.27,red,k,,,,,,,0,76,76,69,,,,,,,,,,,,,,,,,,,,l,0,1.3513564399981988,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
6,same,4,0.41,0.27,orange,1,0.41,-0.14,magenta,1,-0.14,-0.27,black,1,-0.27,0.41,white,1,0.14,0.41,red,0,0.14,-0.41,blue,0,-0.14,-0.14,green,0,-0.41,0.41,yellow,0,0.05,0.05,0.15,-0.14,-0.27,black,k,,,,,,,0,77,77,5,,,,,,,,,,,,,,,,,,,,k,1,1.033646982999926,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
34,different,4,0.14,0.14,white,1,0.14,-0.14,magenta,1,-0.41,-0.41,black,1,-0.41,0.14,yellow,1,0.27,0.27,orange,0,0.14,-0.41,green,0,-0.41,-0.14,red,0,-0.14,0.14,blue,0,0.05,0.05,0.15,0.14,-0.14,white,l,,,,,,,0,78,78,33,,,,,,,,,,,,,,,,,,,,l,1,1.1500480389950098,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
91,different,8,0.27,0.27,red,1,0.41,-0.14,orange,1,-0.14,-0.27,green,1,-0.27,0.27,yellow,1,0.14,0.27,white,1,0.14,-0.14,black,1,-0.41,-0.41,blue,1,-0.14,0.41,magenta,1,0.05,0.05,0.15,-0.14,0.41,yellow,l,,,,,,,0,79,79,90,,,,,,,,,,,,,,,,,,,,l,1,1.2003685290037538,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
71,same,8,0.14,0.41,red,1,0.27,-0.14,yellow,1,-0.27,-0.41,white,1,-0.41,0.27,blue,1,0.41,0.27,magenta,1,0.14,-0.41,orange,1,-0.14,-0.14,black,1,-0.41,0.14,green,1,0.05,0.05,0.15,-0.41,0.27,blue,k,,,,,,,0,80,80,70,,,,,,,,,,,,,,,,,,,,l,0,0.800346679003269,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
42,different,4,0.41,0.41,green,1,0.14,-0.14,red,1,-0.27,-0.14,white,1,-0.27,0.27,blue,1,0.27,0.27,orange,0,0.14,-0.27,black,0,-0.27,-0.41,yellow,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,-0.27,0.27,red,l,,,,,,,0,81,81,41,,,,,,,,,,,,,,,,,,,,l,1,0.8512816340007703,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
43,different,4,0.27,0.27,red,1,0.14,-0.27,orange,1,-0.41,-0.14,green,1,-0.27,0.27,white,1,0.41,0.41,black,0,0.27,-0.14,magenta,0,-0.41,-0.41,yellow,0,-0.41,0.41,blue,0,0.05,0.05,0.15,-0.41,-0.14,magenta,l,,,,,,,0,82,82,42,,,,,,,,,,,,,,,,,,,,l,1,1.1655614489936852,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
22,same,4,0.41,0.27,green,1,0.27,-0.14,black,1,-0.27,-0.41,white,1,-0.41,0.14,blue,1,0.14,0.14,magenta,0,0.41,-0.41,orange,0,-0.14,-0.27,red,0,-0.41,0.41,yellow,0,0.05,0.05,0.15,0.27,-0.14,black,k,,,,,,,0,83,83,21,,,,,,,,,,,,,,,,,,,,k,1,2.8510978920021444,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
88,same,8,0.27,0.41,red,1,0.41,-0.14,white,1,-0.14,-0.14,green,1,-0.41,0.41,orange,1,0.14,0.27,magenta,1,0.27,-0.27,yellow,1,-0.41,-0.41,black,1,-0.27,0.41,blue,1,0.05,0.05,0.15,-0.41,0.41,orange,k,,,,,,,0,84,84,87,,,,,,,,,,,,,,,,,,,,l,0,0.966778488997079,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
56,different,4,0.27,0.14,yellow,1,0.41,-0.14,blue,1,-0.14,-0.27,green,1,-0.41,0.14,white,1,0.14,0.14,magenta,0,0.41,-0.41,red,0,-0.41,-0.14,orange,0,-0.41,0.27,black,0,0.05,0.05,0.15,-0.14,-0.27,magenta,l,,,,,,,0,85,85,55,,,,,,,,,,,,,,,,,,,,l,1,1.0008355489990208,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
41,different,4,0.41,0.41,green,1,0.27,-0.41,orange,1,-0.27,-0.41,black,1,-0.27,0.41,magenta,1,0.14,0.41,white,0,0.41,-0.27,blue,0,-0.14,-0.27,red,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,-0.27,-0.41,white,l,,,,,,,0,86,86,40,,,,,,,,,,,,,,,,,,,,l,1,0.8504506300014327,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
44,different,4,0.27,0.27,black,1,0.41,-0.14,red,1,-0.41,-0.27,magenta,1,-0.14,0.14,green,1,0.41,0.41,white,0,0.14,-0.14,yellow,0,-0.27,-0.41,blue,0,-0.27,0.14,orange,0,0.05,0.05,0.15,0.41,-0.14,magenta,l,,,,,,,0,87,87,43,,,,,,,,,,,,,,,,,,,,l,1,0.7668412190032541,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
98,different,8,0.41,0.27,black,1,0.14,-0.27,yellow,1,-0.14,-0.27,white,1,-0.27,0.14,red,1,0.27,0.27,green,1,0.41,-0.41,magenta,1,-0.41,-0.14,blue,1,-0.41,0.41,orange,1,0.05,0.05,0.15,0.41,0.27,red,l,,,,,,,0,88,88,97,,,,,,,,,,,,,,,,,,,,l,1,1.9508043079986237,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
77,same,8,0.41,0.41,black,1,0.14,-0.14,white,1,-0.27,-0.41,yellow,1,-0.14,0.27,orange,1,0.41,0.14,blue,1,0.41,-0.14,magenta,1,-0.14,-0.27,green,1,-0.27,0.14,red,1,0.05,0.05,0.15,0.41,-0.14,magenta,k,,,,,,,0,89,89,76,,,,,,,,,,,,,,,,,,,,l,0,0.815694318000169,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
81,same,8,0.27,0.14,yellow,1,0.41,-0.14,blue,1,-0.41,-0.14,green,1,-0.41,0.14,orange,1,0.14,0.41,red,1,0.14,-0.27,magenta,1,-0.14,-0.27,white,1,-0.14,0.14,black,1,0.05,0.05,0.15,-0.41,0.14,orange,k,,,,,,,0,90,90,80,,,,,,,,,,,,,,,,,,,,l,0,0.9847823509990121,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
79,same,8,0.27,0.14,green,1,0.41,-0.14,yellow,1,-0.27,-0.41,orange,1,-0.14,0.14,black,1,0.41,0.27,white,1,0.14,-0.14,red,1,-0.14,-0.27,blue,1,-0.27,0.41,magenta,1,0.05,0.05,0.15,0.41,0.27,white,k,,,,,,,0,91,91,78,,,,,,,,,,,,,,,,,,,,l,0,1.3339720980002312,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
64,same,8,0.41,0.14,green,1,0.14,-0.41,white,1,-0.14,-0.14,yellow,1,-0.14,0.27,red,1,0.27,0.14,blue,1,0.27,-0.27,magenta,1,-0.14,-0.27,orange,1,-0.14,0.41,black,1,0.05,0.05,0.15,-0.14,0.27,red,k,,,,,,,0,92,92,63,,,,,,,,,,,,,,,,,,,,l,0,1.5348144720046548,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
38,different,4,0.27,0.27,black,1,0.14,-0.27,green,1,-0.14,-0.27,magenta,1,-0.41,0.14,blue,1,0.14,0.41,orange,0,0.27,-0.41,yellow,0,-0.41,-0.14,white,0,-0.27,0.41,red,0,0.05,0.05,0.15,-0.14,-0.27,orange,l,,,,,,,0,93,93,37,,,,,,,,,,,,,,,,,,,,l,1,1.1524956150024082,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
28,same,4,0.41,0.41,magenta,1,0.27,-0.14,blue,1,-0.14,-0.14,red,1,-0.14,0.41,orange,1,0.14,0.14,black,0,0.41,-0.14,green,0,-0.27,-0.14,yellow,0,-0.14,0.27,white,0,0.05,0.05,0.15,0.27,-0.14,blue,k,,,,,,,0,94,94,27,,,,,,,,,,,,,,,,,,,,l,0,1.4520359540038044,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
27,same,4,0.27,0.27,yellow,1,0.27,-0.27,green,1,-0.27,-0.41,white,1,-0.14,0.41,black,1,0.14,0.41,blue,0,0.41,-0.14,red,0,-0.14,-0.14,orange,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,0.27,-0.27,green,k,,,,,,,0,95,95,26,,,,,,,,,,,,,,,,,,,,l,0,1.3179625800039503,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
